categoria,descricao,codigo_produto,codigo_auxiliar,valor_1,valor_2,valor_3
PRODUCAO,ABRACADEIRA SEM LOGO,1200097349,4072024,8035.00,8029.00,-6.09%
PRODUCAO,ABRACADEIRAS K22L 20CM.NYLON,1000014719,L240405CL201,"934,00",877.00,-57 00
PRODUCAO,ACI4XDES2013,1000015423,L231026CL101,"8,25","8,25","0,00"
PRODUCAO,ACI4XDES2013,1000015423,L240913CL302,17.40,"17,40",0.00
PRODUCAO,AF 3845,763103002715,L240927CL302,"12,60","12,60","0,00"
PRODUCAO,AF 3845,763103002715,L240910CL301,"17,70","17,70","0,00"
PRODUCAO,AF 3846,763103003715,L240801CL301,"7,68","7,68","0,00"
PRODUCAO,AF 3846,763103003715,L241111CL301,"13,86","13,86","0,00"
PRODUCAO,AF 3846,763103003715,L240911CL301,"16,56","16,56","0,00"
PRODUCAO,AF 4403,763103011715,L240927CL301,4.00,4.00,"0,00"
PRODUCAO,AF 4403,763103011715,L241008CL302,"18,00","18,00",0.00
PRODUCAO,AF 4403,763103011715,L240326CL301,"24,00","24,00","0,00"
PRODUCAO,AF 4811,763103004115,L240326CL303,"5,25","5,25","0,00"
PRODUCAO,AF 4811,763103004115,L240404CL301,"10,40","10,40","0,00"
PRODUCAO,AF 4811,763103004115,L240326CL302,"12,30","12,30","0,00"
PRODUCAO,AF 4811,763103004115,L241114CL201,"13,40","13,40","0,00"
PRODUCAO,AGUCOCOSDP24017BR - COCO,722163002515,L241114CL203,"18,00","18,00","0,00"
PRODUCAO,AGUCOCOSDP24017BR - COCO,722163002515,L241114CL202,"5,14","5,14","0,00"
PRODUCAO,AGUCOCOSDP24017BR - COCO,722163002515,L241114CL205,"5,40","5,66","0,26"
PRODUCAO,AGUCOCOSDP24017BR - COCO,722163002515,L240809CL201,"6,00","6,00","0,00"
PRODUCAO,AGUCOCOSDP24017BR - COCO,722163002515,L241108CL201,"8,00","8,00","0,00"
PRODUCAO,AGUCOCOSDP24017BR - COCO,722163002515,L241114CL204,"12,00","12,00","0,00"
PRODUCAO,AGUCOCOSDP24017BR - COCO,722153002515,L240226CL202,"12,90","12,90","0,00"
PRODUCAO,BEEP4360919PET - BETERRABA,722173008515,1032305710,"13,72","13,70",-0.02%
PRODUCAO,CAFEINA ANIDRA (SINTETICA),1000014801,1072407343,"9,60","9,30",-0 30
PRODUCAO,CAFEINA NATURAL DO CAFE,1000014694,20231114,"100,00","100,00.",0.00
PRODUCAO,CAIXA EMBARQUE 490X385X255 MM,1000014698,20240601,"3,00","0,00",-3.C0
PRODUCAO,CAIXA EMBARQUE 490X385X255 MM,1000014698,L240715CL203,"30,00","25,00",-5 00
PRODUCAO,CANTONEIRA PAPELAO 100X50X50X3,1000014709,L240814CL201,"550,00","552,00","2,00"
PRODUCAO,CNP4350919PET - CENOURA,722543003515,L241002CL302,"17,85","17,85","0,00"
PRODUCAO,CNP4350919PET - CENOURA,722543003515,L241002CL301,"11,72","11,72","0,00"
PRODUCAO,DAF 5670-ENERGY BLEND C/B2,723903071515,L241002CL304,"14,70","14,70",0.00
PRODUCAO,DAF 5670-ENERGY BLEND C/ B2,723903071515,L241002CL303,"18,72","18,72","0,00"
PRODUCAO,DAF 5671-PA,723903068515,TLO2312893,"9,86","9,86",0.00
PRODUCAO,DAF 5671-PA,723903068515,BDB07BASE1,"12,75","12,74",-0.01%
PRODUCAO,D-CALCIUM PANTOTHENATE FCC/USP,1000016097,BDI02BASE1,"90,64","89,35",-1.29%
PRODUCAO,DIOXIDO DE SILICIO TIXOSIL 38A,1000016160,L240812CL202,"13,46","13,50","0,04"
PRODUCAO,DIOXIDO DE SILICIO TIXOSIL 38A,1000016160,,"128,48","130,90.",2.42
PRODUCAO,ESP4370919PET - ESPINAFRE,722583003515,,"17,88","17,88","0,00"
PRODUCAO,ET!QUETA 100 X 200 BOPP BRANCA,1000015630,,"1460,00",1553.00,"93,00"
