categoria,descricao,codigo_produto,codigo_auxiliar,valor_1,valor_2,valor_3
AMOSIRA,ESP4370919PET - ESPINAFRE,722583003515,L231219CL204,..,10.82,0.01
DESCARTE,AROMA DE MARACUJA,1000014956,200508583,10.82,0.00,0.00
DESCARTE,BIG BAG 90X90X168CM,1000014722,4420,0.00,0.00,74.0
DESCARTE,SACO DE POLITILENO,1000015438,6971,74.00,0.00,62.00
DESCARTE,"SACA AZUL ESCURA 0,60 X 1,00",1000014726,79538,620.00,0.00,1.77990
DESCARTE,"SACO POLIETILENO 60-1,00 20 MM",1000014697,95801,1779.00,0.00,748.00
DESCARTE,"SACO POLIETILENO 60-1,00 20 MM",1000014697,101349,748.00,0.00,50.00
DESCARTE,ACUCAR ORGANICO,1000014717,12050322,50.00,0.00,334.00
DESCARTE,MALTODEXTRINA DE MANDIOCA,1000014805,70624030,334.00,0.00,525.00
DESCARTE,ACESULFAME DE POTASSIO,1000016115,202301013,525.00,0.00,25.03
DESCARTE,EXTRATO DE GUARANA S,721251083466,300608812,25.00,0.00,400.00
DESCARTE,DIOXIDO DE SILICIO,1000014966,220100101FGS200,400.00,0.00,189.47
DESCARTE,BOMBONA HOMOLOGADA ANTICHAMAS,1000014731,3H1-20L,189.47,0.00,42.00
DESCARTE,GU100460219 - GUARANA,721253013555,L211022CL101,42.00,0.00,13.04
DESCARTE,MAT8CAFSDP1617,721263009515,L211123CL105,13.84,0.00,50.59
DESCARTE,GU100460219 - GUARANA,721253013555,L211123CL107,65.08,0.00,1.05
DESCARTE,GUA22BDES2011 - GUARANA,721253008555,L211129CL102,1.05,0.00,11.01
DESCARTE,GU100460219 - GUARANA,721253013555,L211220CL101,11.01,0.00,16.53
DESCARTE,GU100460219 - GUARANA,721253013555,L211222CL101,16.53,0.00,18.02
DESCARTE,ACID6331220 - ACAI,722013006515,L211227CL201,18.02,0.00,9.08
DESCARTE,CR86820620 - CRANBERRY,722193002515,L230301CL202,9.08,0.00,0.00
DESCARTE,DYC21602230113 - COCO LDM TEST,624163040515,L230302CL401,0.00,0.00,133.30
DESCARTE,ACA6021020 - ACAI,722012021515,L230419CL101,138.30,0.00,0.16
DESCARTE,GRENCF10DES53716 - CAFE VERDE,721293004515,L230502CL101,0.15,0.00,55.03
DESCARTE,ACE2090720 - ACEROLA,722023004555,L230519CL201,55.00,0.00,22.95
DESCARTE,GEN100DES2014 - GENGIBRE,722213001515,L230601CL203,22.95,0.00,0.65
DESCARTE,GUA1.522512210090 - GUARANA,721253076515,L230629CL101_1,0.65,0.00,0.79
DESCARTE,AGUCOCOSDP24017 - COCO,722163001515,L231129CL204,0.79,0.00,0.13
DESCARTE,ESP4370919PET - ESPINAFRE,722583003515,L231219CL204,0.13,0.00,0.16
DESCARTE,BIG BAG 90X90X168CM,1000014722,S211029CL106,0.16,0.00,2.00
DESCARTE,MTG6740620B - ERVA MATE,721262007515,S230313CL101,2.00,0.00,213.08
DESCARTE,DYC27302230114 - BLEND CAF. AM,623733020515,300124,213.08,0.00,147.50
DESCARTE,POLPA DE GENGIBRE BAG 20KG,1000015616,L230629CL101_1,147.50,0.00,19.00
QUEBRA,POLPA DE GENGIBRE BAG 20KG,1000015616,L241104CL206,19.00,0.00,20.00
QUEBRA,GUA1.522512210090 - GUARANA,721253076515,L241104CL207,20.00,0.00,0.01
QUEBRA,REPROCESSO LTCO06780620,724162042515,L241104CL208,0.00,0.00,33.50
QUEBRA,REPROCESSO LTCO06780620,724162042515,S241104CL201,23.50,.0.00.,6.50
QUEBRA,REPROCESSO LTCO06780620,724162042515,S241104CL202,6.50,0.00,2.55
QUEBRA,REPROCESSO LTCO06780620,724162042515,S241105GL101,2.55,0.00,18.10
QUEBRA,REPROCESSO AGUCOSDP24017,722792004515,S241106CL301,18.10,0.00,3.4
QUEBRA,REPROCESSO GRENCF10DES53716,721293010515,S241111CL201,3.40,0.00,2.5
QUEBRA,REPROCESSO AF 3846,723903035515,,2.50,0.00,7.00
QUEBRA,REPROCESSO AGUCOSDP24017,722792004515,,1.00,0.00,4.91
,,,,4.90,,
