categoria,descricao,codigo_produto,codigo_auxiliar,valor_1,valor_2,valor_3
PRODUCAO,100150,1000014728,1092023,")767,00","10930,00","$3,00"
PRODUCAO,EXTRATO DE GUARANA S,1000014727,300608832,"4044,00",4044.00,0.00
PRODUCAO,EXTRATO DE GUARANA S,1100045746,300608812,3500.00,"3500,00",0.00
PRODUCAO,226181120,721251083466,21062024,0000.00,"10000,00",0.00
PRODUCAO,1002014,721251.083466,LTE230361001,5180.00,"5180,00","0,00"
PRODUCAO,1002014,1100045570,.L240930CL201,"235,25","228,00",-7.25
PRODUCAO,1002014,1000014703,L240701CL203_1,"243,12","270,21","27,10"
PRODUCAO,1002014,721253018555,S240115CL203,"9,10","9,10",0.00
PRODUCAO,1002014,722213001515,S240108CL201,"3,01",0.00,-3 01
PRODUCAO,1002014,722212003515,L240409CL202_1,"21,03","21,03","0,00"
PRODUQAO,1002014,722212003515,L240520CL204,"28,47","28,47",0.00
PRODUCAO,1002014,72290300951.5,L240513CL203_1,"6,30",".6,30","0,00"
PRODUCAO,1002014,722903009515,L240506CL205_1,"8,65","8,65",0.00
PRODUCAO,1002014,722903009515,L240213CL203_1,"9,35",9.35,0.00
PRODUCAO,1002014,722903009515,L240715CL202,"10,35","10,35",0.00
PRODUCAO,1053716,722903009515,L240513CL202_1,"10,42","10,42","0,00"
PRODUCAO,100460219,722903009515,L240429CL204_1,"15,84",".15,84",0.00
PRODUCAO,100460219,722903009515,L241108CL101,"16,30","16,30",0.00
PRODUCAO,100460219,722903009515,L240709CL101.,".17,55",17.55,0.00
PRODUCAO,100460219,721293004515,L241101CL103,"12,90","12,90","0,00"
PRODUCAO,100460219,721253013555.,L240808CL101,"14,40","14,40",0.00
PRODUCAO,100460219,721253013555,L241101CL101,"16,22","16,22","0,00"
PRODUCAO,06560520,721253013555,L240418CL101,"5,79","5,70",-0.08
PRODUCAO,1522512210090,721253013555,L241205CL102,"10,70","10,70","0,00"
PRODUCAO,222011,721253013555,L240307CL101,11;00,"11,00","0,00"
PRODUCAO,222011,721253013555,L231212CL102,"5397,50","5401,00","3,50"
PRODUCAO,222011,721253004555,L240703CL101,11.10,"11,10","0,00"
PRODUCAO,222563,721253076515,L240729CL101,"13,75","13,90","0,15"
PRODUCAO,222563,721253008555,L240314CL101,"17,30","17,30","0,00"
PRODUCAO,7230618,721253008555,L241202CL203,"6,50","6,50.",0.00
PRODUCAO,7230618,721253008555,S240301CL102,"10,00.",10.00,0.00
PRODUCAO,7230618,1000015280,L240620CL202,"130,00",129;60,-0.40
PRODUCAO,7230618,721252029515,L240829CL202,2.10,". 2,15","0,05"
PRODUCAO,7230618,721253024555,L240401CL205,5:45,"5,45","0,00"
PRODUCAO,7230618,721253024555,L240725CL202,"291,60","291,60",0.0C
PRODUCAO,7230618,721253024555,L240530CL202,"4,58","5,00",0.43
PRODUCAO,7230618,721253024555,L240731CL202,"6,70",6.70,0.00
PRODUCAO,,72125302455E,L240328CL201,"8,40",8;40,0.0R
PRODUCAO,,72125302455:,L240826CL202,8.80,08'8.,0.0
PRODUCAO,,72125302455:,,.8.85,.98*8:,0.0
PRODUCAC,,72125302455,,"9,40","9,40","0,0"
